[0:1, 0:2, 0:3, 0:4, 0:5, 0:6, 0:7]
[0:1, 0:3, 0:4, 0:5, 0:6, 0:7, 1:2]
[0:1, 0:4, 0:5, 0:6, 0:7, 1:2, 1:3]
[0:2, 0:4, 0:5, 0:6, 0:7, 1:2, 1:3]
[0:1, 0:5, 0:6, 0:7, 1:2, 1:3, 1:4]
[0:2, 0:5, 0:6, 0:7, 1:2, 1:3, 1:4]
[0:1, 0:2, 0:5, 0:6, 0:7, 1:4, 2:3]
[0:1, 0:5, 0:6, 0:7, 1:2, 1:4, 2:3]
[0:3, 0:5, 0:6, 0:7, 1:2, 1:4, 2:3]
[0:1, 0:2, 0:6, 0:7, 1:4, 1:5, 2:3]
[0:2, 0:6, 0:7, 1:2, 1:4, 1:5, 2:3]
[0:3, 0:6, 0:7, 1:2, 1:4, 1:5, 2:3]
[0:2, 0:3, 0:6, 0:7, 1:3, 1:5, 2:4]
[0:3, 0:6, 0:7, 1:2, 1:3, 1:5, 2:4]
[0:1, 0:6, 0:7, 1:3, 1:5, 2:3, 2:4]
[0:3, 0:6, 0:7, 1:3, 1:5, 2:3, 2:4]
[0:4, 0:6, 0:7, 1:2, 1:5, 2:3, 3:4]
[0:2, 0:4, 0:7, 1:3, 1:6, 2:5, 3:4]
[0:1, 0:2, 0:3, 0:7, 1:6, 2:5, 3:4]
[0:1, 0:3, 0:7, 1:2, 1:6, 2:5, 3:4]
[0:3, 0:4, 0:7, 1:4, 1:6, 2:3, 2:5]
[0:4, 0:7, 1:3, 1:6, 2:3, 2:5, 3:4]
[0:5, 0:7, 1:2, 1:6, 2:3, 3:4, 4:5]
